timestamp,open,high,low,close,volume
2020-01-01,7195.24,9578.0,6871.04,9352.89,1691323.137782
2020-02-01,9351.71,10500.0,8445.0,8523.61,1609726.154564
2020-03-01,8523.61,9188.0,3782.13,6410.44,3789768.913125
2020-04-01,6412.14,9460.0,6150.11,8620.0,2528373.691121
2020-05-01,8620.0,10067.0,8117.0,9448.27,2685340.078508
2020-06-01,9448.27,10380.0,8833.0,9138.55,1504745.517922
2020-07-01,9138.08,11444.0,8893.03,11335.46,1507827.21494
2020-08-01,11335.46,12468.0,10518.5,11649.51,1891193.007128
2020-09-01,11649.51,12050.85,9825.0,10776.59,1730389.160179
2020-10-01,10776.59,14100.0,10374.0,13791.0,1592634.419946
2020-11-01,13791.0,19863.16,13195.05,19695.87,2707064.911165
2020-12-01,19695.87,29300.0,17572.33,28923.63,2495281.856217
2021-01-01,28923.63,41950.0,28130.0,33092.98,3440864.750019
2021-02-01,33092.97,58352.8,32296.16,45135.66,2518242.148517
2021-03-01,45134.11,61844.0,44950.53,58740.55,2098808.027432
2021-04-01,58739.46,64854.0,46930.0,57694.27,1993468.938007
2021-05-01,57697.25,59500.0,30000.0,37253.81,3536245.256573
2021-06-01,37253.82,41330.0,28805.0,35045.0,2901775.305923
2021-07-01,35045.0,42448.0,29278.0,41461.83,1778463.264837
2021-08-01,41461.84,50500.0,37332.7,47100.89,1635402.874245
2021-09-01,47100.89,52920.0,39600.0,43824.1,1527799.510768
2021-10-01,43820.01,67000.0,43283.03,61299.8,1565556.292623
2021-11-01,61299.81,69000.0,53256.64,56950.56,1291900.105248
2021-12-01,56950.56,59053.55,42000.3,46216.93,1233745.524318
2022-01-01,46216.93,47990.0,32917.17,38466.9,1279407.465721
2022-02-01,38466.9,45821.0,34322.28,43160.0,1253514.21906
2022-03-01,43160.0,48189.84,37155.0,45510.34,1501398.79591
2022-04-01,45510.35,47444.11,37578.2,37630.8,1267655.68178
2022-05-01,37630.8,40023.77,26700.0,31801.04,2387839.680804
2022-06-01,31801.05,31982.97,17622.0,19942.21,2816058.473226
2022-07-01,19942.21,24668.0,18781.0,23293.32,4983278.5881
2022-08-01,23296.36,25211.32,19520.0,20050.02,5692462.41571
2022-09-01,20048.44,22799.0,18125.98,19422.61,9838930.53657
2022-10-01,19422.61,21085.0,18190.0,20490.74,7499121.81542
2022-11-01,20490.74,21480.65,15476.0,17163.64,9127693.509065
2022-12-01,17165.53,18387.95,16256.3,16542.4,5803833.88187
2023-01-01,16541.77,23960.54,16499.01,23125.13,7977028.87801
2023-02-01,23125.13,25250.0,21351.07,23141.57,8642691.27165
2023-03-01,23141.57,29184.68,19549.09,28465.36,9516189.35846
2023-04-01,28465.36,31000.0,26942.82,29233.21,1626745.5585
2023-05-01,29233.2,29820.0,25811.46,27210.35,1302000.49221
2023-06-01,27210.36,31431.94,24800.0,30472.0,1387207.48275
2023-07-01,30471.99,31804.2,28861.9,29232.25,925773.81731
2023-08-01,29232.26,30244.0,25166.0,25940.78,1025866.55023
2023-09-01,25940.77,27483.57,24901.0,26962.56,809329.04893
2023-10-01,26962.57,35280.0,26538.66,34639.77,1141403.6799
2023-11-01,34639.78,38450.0,34097.39,37723.96,1055690.59638
2023-12-01,37723.97,44700.0,37615.86,42283.58,1195409.976
2024-01-01,42283.58,48969.48,38555.0,42580.0,1403408.84978
